tournament_id,tournament_name,date,location
47,Focused next generation encryption,2018/05/05,Perstorp
48,Persistent executive database,2018/08/23,Kovel’
49,Robust regional Graphic Interface,2018/10/18,Jixian
50,Customer-focused optimal instruction set,2018/10/21,Jiangdulu
51,Decentralized user-facing neural-net,2018/07/28,Janakkala
52,Versatile maximized challenge,2018/09/15,Arlington
53,Configurable exuding Graphical User Interface,2018/07/17,Jargalant
54,Automated bottom-line superstructure,2018/11/09,Xiashixiang
55,Integrated directional complexity,2018/04/24,La Curva
56,Grass-roots leading edge project,2018/04/04,Zaleszany
57,Networked local hub,2018/03/27,Karlskoga
58,Vision-oriented discrete moratorium,2018/03/20,Conroe
59,Synchronised tertiary standardization,2018/03/29,Sinamaica
60,Future-proofed interactive focus group,2018/11/08,Sloboda
61,Profit-focused needs-based extranet,2018/03/26,Jianshe
62,Centralized systematic superstructure,2018/04/19,Guernica
63,Profound modular open system,2018/02/17,Ping’an
64,Re-engineered bandwidth-monitored moderator,2018/05/16,Villa Bustos
65,Versatile cohesive model,2018/05/25,Malibago
66,Monitored system-worthy local area network,2018/11/10,Sibiti
67,Optional attitude-oriented emulation,2018/08/27,Aleksandrovka
68,Function-based 5th generation protocol,2018/01/17,Jinquan
69,Reverse-engineered multi-state flexibility,2018/12/30,Nyzhnya Krynka
70,Persevering national Graphical User Interface,2018/10/22,Bergerac
71,Customizable optimizing function,2018/11/01,Kaloyanovo
72,Configurable holistic software,2018/02/11,Jingdang
73,Robust mission-critical time-frame,2018/03/19,Narail
74,Business-focused solution-oriented alliance,2018/05/21,Baddomalhi
75,Down-sized full-range core,2018/05/15,Waihi Beach
76,Proactive zero tolerance hub,2018/11/26,Aizhai
77,Optimized heuristic installation,2018/04/10,Igreja
78,Cloned discrete collaboration,2018/03/28,Hayan Hudong
79,Versatile reciprocal instruction set,2018/06/22,Šumperk
80,Profit-focused 4th generation strategy,2018/09/09,Sarishābāri
81,Customizable client-driven encryption,2018/10/25,Dajin
82,Multi-channelled methodical leverage,2018/11/09,Brinkmann
83,Public-key heuristic help-desk,2018/01/20,České Meziříčí
84,Balanced contextually-based groupware,2018/10/09,Jingnao
85,Intuitive zero defect knowledge base,2018/09/07,Yuyapichis
86,Organized didactic leverage,2018/10/08,Tawali
87,Up-sized bottom-line intranet,2018/05/08,Rashaant
88,Profit-focused bifurcated conglomeration,2018/09/11,Bo Phloi
89,Up-sized fault-tolerant support,2018/03/09,Netrakona
90,Inverse zero administration capacity,2018/06/16,Sukaraja
91,Phased web-enabled process improvement,2018/06/22,Guanambi
92,User-friendly bandwidth-monitored interface,2018/05/07,Xigou
93,Multi-channelled fault-tolerant capability,2018/10/24,Rudniki
94,De-engineered mission-critical installation,2018/09/09,Göteborg
95,Centralized fault-tolerant analyzer,2018/12/18,Kondangrege
96,Team-oriented optimal standardization,2018/01/23,Divnomorskoye
97,Cloned regional algorithm,2018/04/29,Thị Trấn Mường Khương
98,Horizontal optimizing architecture,2018/07/17,Huangshagang
99,Synergistic value-added process improvement,2018/02/02,Maradabangga
100,Programmable bandwidth-monitored framework,2018/08/25,Maji
101,Face to face coherent software,2018/09/18,Raydah
102,Streamlined intermediate attitude,2018/09/07,Murom
103,Compatible national artificial intelligence,2018/07/22,les Escaldes
104,Seamless well-modulated process improvement,2018/01/26,Sampao
105,Fully-configurable heuristic flexibility,2018/05/20,Libofshë
106,Implemented 5th generation approach,2018/05/02,Sanankerto
107,Re-contextualized national migration,2018/10/14,Korydallós
108,Expanded high-level process improvement,2018/04/06,Senhor da Serra
109,Synergized transitional migration,2018/09/23,Moravská Nová Ves
110,Grass-roots responsive structure,2018/09/08,Černilov
111,Advanced impactful protocol,2018/07/13,Petropavlovsk
112,Quality-focused intangible hub,2018/03/16,George Town
113,Balanced human-resource throughput,2018/03/18,Skhodnya
114,Devolved non-volatile model,2018/07/14,Sŏnbong
115,Mandatory real-time ability,2018/04/25,Selopuro
116,Digitized foreground intranet,2018/06/05,As Sūsah
117,Horizontal local product,2018/07/10,Palama
118,Future-proofed contextually-based superstructure,2018/09/07,Telêmaco Borba
119,Visionary dedicated functionalities,2018/06/21,Karabas
120,Fundamental 3rd generation access,2018/07/19,Dmitriyevskaya
